Auffälligkeiten:
- die kleineren Tasks checkcontrast, loadimage und wirteimage weichen weiterhin erheblich ab
- bei sobelv/sobelh  gibt es bei 2 core eine höhere Abweichung, bei 3 core teilweise wieder näher, aber einzelne Messungen weichen erheblich ab
- grundsätzlich - die drei Messungen müssten immer annähernd gleich sein

CPUFrequency;Parallelism;apptask;apptaskduration;apptaskpower;estimationOneToOne;estimationOneToMany;diffOneToOne;diffOneToMany
2200;1;greyscale;4895 MS;4185 MJ/MS;4495 MJ/MS;4273 MJ/MS;7.40741%;2.10275%;
2200;1;greyscale;3964 MS;4140 MJ/MS;4482 MJ/MS;4297 MJ/MS;8.26087%;3.79227%;

2200;1;sharpencontrast;4854 MS;4083 MJ/MS;3369 MJ/MS;4009 MJ/MS;-17.4871%;-1.81239%;
2200;1;sharpencontrast;4849 MS;4086 MJ/MS;3358 MJ/MS;3978 MJ/MS;-17.8169%;-2.64317%;
2200;1;sharpencontrast;4856 MS;4074 MJ/MS;3356 MJ/MS;3987 MJ/MS;-17.624%;-2.13549%;

2200;1;copyimage;4637 MS;4086 MJ/MS;4480 MJ/MS;4250 MJ/MS;9.64268%;4.01371%;
2200;1;copyimage;4650 MS;4122 MJ/MS;4477 MJ/MS;4240 MJ/MS;8.61232%;2.86269%;
2200;1;copyimage;4642 MS;4108 MJ/MS;4479 MJ/MS;4272 MJ/MS;9.03116%;3.99221%;

2200;1;sobelh;4828 MS;4046 MJ/MS;4514 MJ/MS;4333 MJ/MS;11.567%;7.09343%;
2200;1;sobelh;4790 MS;4041 MJ/MS;4484 MJ/MS;4351 MJ/MS;10.9626%;7.67137%;
2200;1;sobelh;4743 MS;4027 MJ/MS;4472 MJ/MS;4329 MJ/MS;11.0504%;7.49938%;

2200;1;sobelv;4796 MS;3946 MJ/MS;4470 MJ/MS;4352 MJ/MS;13.2793%;10.2889%;
2200;1;sobelv;4801 MS;3966 MJ/MS;4503 MJ/MS;4338 MJ/MS;13.5401%;9.37973%;
2200;1;sobelv;4731 MS;3889 MJ/MS;4482 MJ/MS;4334 MJ/MS;15.2481%;11.4425%;

2200;1;combineimgs;4909 MS;3996 MJ/MS;3558 MJ/MS;4310 MJ/MS;-10.961%;7.85786%;
2200;1;combineimgs;4876 MS;4014 MJ/MS;3555 MJ/MS;4295 MJ/MS;-11.435%;7.0005%;
2200;1;combineimgs;4843 MS;4009 MJ/MS;3551 MJ/MS;4299 MJ/MS;-11.4243%;7.23372%;

2200;1;writeimage;4680 MS;5943 MJ/MS;4319 MJ/MS;3222 MJ/MS;-27.3263%;-45.785%;
2200;1;writeimage;4702 MS;5914 MJ/MS;4339 MJ/MS;3240 MJ/MS;-26.6317%;-45.2147%;
2200;1;writeimage;4811 MS;5854 MJ/MS;4288 MJ/MS;3243 MJ/MS;-26.7509%;-44.602%;

2200;2;checkcontrast;10754 MS;4633 MJ/MS;5977 MJ/MS;5063 MJ/MS;29.0093%;9.28124%;
2200;2;checkcontrast;10757 MS;4635 MJ/MS;5939 MJ/MS;5134 MJ/MS;28.1338%;10.7659%;
2200;2;checkcontrast;7181 MS;4663 MJ/MS;5948 MJ/MS;5143 MJ/MS;27.5574%;10.2938%;

2200;2;loadimage;2082 MS;7584 MJ/MS;5481 MJ/MS;4558 MJ/MS;-27.7294%;-39.8998%;
2200;2;loadimage;2082 MS;7588 MJ/MS;5493 MJ/MS;4565 MJ/MS;-27.6094%;-39.8392%;
2200;2;loadimage;2097 MS;7544 MJ/MS;5530 MJ/MS;4561 MJ/MS;-26.6967%;-39.5414%;

2200;2;greyscale;4790 MS;6347 MJ/MS;7297 MJ/MS;6927 MJ/MS;14.9677%;9.13818%;
2200;2;greyscale;4901 MS;6355 MJ/MS;7048 MJ/MS;6633 MJ/MS;10.9048%;4.37451%;
2200;2;greyscale;4901 MS;6378 MJ/MS;7082 MJ/MS;6671 MJ/MS;11.0379%;4.59392%;

2200;2;sharpencontrast;4873 MS;6326 MJ/MS;4874 MJ/MS;6066 MJ/MS;-22.9529%;-4.11002%;
2200;2;sharpencontrast;4872 MS;6379 MJ/MS;4878 MJ/MS;6072 MJ/MS;-23.5303%;-4.81267%;
2200;2;sharpencontrast;4870 MS;6308 MJ/MS;4881 MJ/MS;6074 MJ/MS;-22.6221%;-3.70958%;

2200;2;copyimage;4713 MS;6329 MJ/MS;7073 MJ/MS;6648 MJ/MS;11.7554%;5.04029%;
2200;2;copyimage;4724 MS;6334 MJ/MS;7080 MJ/MS;6628 MJ/MS;11.7777%;4.64162%;
2200;2;copyimage;4699 MS;6314 MJ/MS;7121 MJ/MS;6644 MJ/MS;12.7811%;5.22648%;

2200;2;sobelh;6559 MS;5558 MJ/MS;7110 MJ/MS;6736 MJ/MS;27.9237%;21.1947%;
2200;2;sobelh;6434 MS;5623 MJ/MS;7082 MJ/MS;6775 MJ/MS;25.947%;20.4873%;
2200;2;sobelh;6511 MS;5612 MJ/MS;7111 MJ/MS;6777 MJ/MS;26.7106%;20.7591%;

2200;2;sobelv;6398 MS;5517 MJ/MS;7089 MJ/MS;6775 MJ/MS;28.4937%;22.8022%;
